Event Category,Event Name,Event Description,Trigger/When,User Properties,Event Properties,Funnel,Priority,Implementation Notes
CREATE - Designer,Design Import Started,User imports design,On import button click,user_id|user_role,import_format|session_id,Network Designer,Medium,Design import
CREATE - Designer,Design Imported Successfully,Import completed,On import success,user_id|user_role,import_format|node_count|connection_count|session_id,Network Designer,High,Import success
CREATE - Designer,Design Import Failed,Import failed,On import error,user_id|user_role,import_format|error_message|session_id,Network Designer,High,Import failure
CREATE - Designer,Design Shared,User shares design with others,On share button click,user_id|user_role,share_method|shared_with_count|permission_level|session_id,Network Designer,Medium,Collaboration
CREATE - Designer,Design Commented,User adds comment to design,On comment submit,user_id|user_role,comment_location|comment_length|session_id,Network Designer,Low,Collaboration
CREATE - Designer,Design Version Created,User creates design version,On version button click,user_id|user_role,version_number|version_notes|changes_from_previous|session_id,Network Designer,Medium,Version control
CREATE - Designer,Design Version Restored,User reverts to previous version,On restore button click,user_id|user_role,version_restored|current_version|session_id,Network Designer,Medium,Version control
CREATE - Designer,Designer Closed,User exits designer,On designer exit,user_id|user_role,design_saved|time_in_designer|changes_made|session_id,Network Designer Funnel,High,Session completion
CREATE - Designer,Undo Action,User undoes change,On undo button/keyboard,user_id|user_role,action_undone|session_id,Network Designer,Low,Error recovery
CREATE - Designer,Redo Action,User redoes change,On redo button/keyboard,user_id|user_role,action_redone|session_id,Network Designer,Low,Error recovery
CREATE - Designer,Scenario Testing Opened,User opens scenario console,On scenario button click,user_id|user_role,design_id|session_id,Network Designer,High,Testing features
CREATE - Designer,Scenario Created,User creates test scenario,On scenario create,user_id|user_role,scenario_name|scenario_type|session_id,Network Designer,High,Scenario planning
CREATE - Designer,Scenario Executed,User runs scenario simulation,On scenario run button,user_id|user_role,scenario_id|scenario_type|design_complexity|session_id,Network Designer,High,Testing execution
CREATE - Designer,Scenario Results Viewed,User reviews scenario results,On results display,user_id|user_role,scenario_id|passed|failed|warnings|session_id,Network Designer,High,Results analysis

CREATE - API Toolbox,API Toolbox Opened,User opens API integration tool,On API toolbox entry,user_id|user_role|account_type,entry_point|session_id,API Integration Funnel,Critical,API toolbox usage
CREATE - API Toolbox,API Import Method Selected,User selects import method,On method selection,user_id|user_role,import_method|session_id,API Integration Funnel,Critical,Method selection
CREATE - API Toolbox,API File Uploaded,User uploads API spec file,On file upload,user_id|user_role,file_name|file_size|file_format|session_id,API Integration Funnel,High,Spec upload
CREATE - API Toolbox,API URL Entered,User enters API spec URL,On URL input,user_id|user_role,url_domain|spec_format|session_id,API Integration Funnel,High,URL import
CREATE - API Toolbox,API Spec Parsed,System parses API specification,On parse completion,user_id|user_role,spec_format|endpoint_count|model_count|session_id,API Integration Funnel,Critical,Parsing success
CREATE - API Toolbox,API Spec Parse Error,Parsing failed,On parse error,user_id|user_role,spec_format|error_type|error_message|session_id,API Integration Funnel,Critical,Parsing failure
CREATE - API Toolbox,API Endpoints Listed,Endpoints displayed for selection,On endpoints display,user_id|user_role,endpoint_count|methods_available|session_id,API Integration Funnel,High,Endpoint discovery
CREATE - API Toolbox,API Endpoint Selected,User selects endpoint,On endpoint checkbox/click,user_id|user_role,endpoint_path|http_method|session_id,API Integration Funnel,High,Endpoint selection
CREATE - API Toolbox,API Endpoint Deselected,User deselects endpoint,On endpoint uncheck,user_id|user_role,endpoint_path|http_method|session_id,API Integration Funnel,Medium,Selection refinement
CREATE - API Toolbox,API Authentication Configured,User configures API auth,On auth config save,user_id|user_role,auth_type|auth_method|session_id,API Integration Funnel,Critical,Security configuration
CREATE - API Toolbox,API Field Mapped,User maps API field to connection field,On field mapping,user_id|user_role,source_field|target_field|mapping_type|session_id,API Integration Funnel,High,Field mapping
CREATE - API Toolbox,API Field Mapping Auto-suggested,System suggests field mapping,On auto-mapping,user_id|user_role,suggested_mappings_count|confidence_score|session_id,API Integration Funnel,High,Auto-mapping feature
CREATE - API Toolbox,API Mapping Template Applied,User applies mapping template,On template selection,user_id|user_role,template_id|template_name|fields_mapped|session_id,API Integration Funnel,Medium,Template usage
CREATE - API Toolbox,API Transform Rule Added,User adds data transformation rule,On rule creation,user_id|user_role,rule_type|source_field|target_field|session_id,API Integration Funnel,Medium,Data transformation
CREATE - API Toolbox,API Test Connection Started,User tests API connection,On test button click,user_id|user_role,endpoints_to_test|session_id,API Integration Funnel,Critical,Connection testing
CREATE - API Toolbox,API Test Connection Success,Test connection succeeded,On test success,user_id|user_role,response_time|status_code|session_id,API Integration Funnel,Critical,Test success
CREATE - API Toolbox,API Test Connection Failed,Test connection failed,On test failure,user_id|user_role,error_code|error_message|failure_reason|session_id,API Integration Funnel,Critical,Test failure
CREATE - API Toolbox,API Mock Data Generated,System generates test data,On mock generation,user_id|user_role,record_count|fields_generated|session_id,API Integration Funnel,Medium,Testing data
CREATE - API Toolbox,API Sync Schedule Configured,User sets sync frequency,On schedule config,user_id|user_role,sync_frequency|sync_time|session_id,API Integration Funnel,High,Automation config
CREATE - API Toolbox,API Error Handling Configured,User configures error behavior,On error config save,user_id|user_role,retry_policy|error_notification|session_id,API Integration Funnel,High,Error handling
CREATE - API Toolbox,API Integration Saved,User saves API configuration,On save button click,user_id|user_role,integration_name|endpoints_count|mappings_count|session_id,API Integration Funnel,Critical,Configuration saved
CREATE - API Toolbox,API Integration Activated,User enables API integration,On activate toggle,user_id|user_role,integration_id|integration_name|session_id,API Integration Funnel,Critical,Integration enabled
CREATE - API Toolbox,API Integration Deactivated,User disables API integration,On deactivate toggle,user_id|user_role,integration_id|integration_name|deactivation_reason|session_id,API Integration Funnel,High,Integration disabled
CREATE - API Toolbox,API Integration Deleted,User removes API integration,On delete confirmation,user_id|user_role,integration_id|integration_age|session_id,API Integration Funnel,High,Integration removed
CREATE - API Toolbox,API Documentation Viewed,User views API docs,On docs button click,user_id|user_role,doc_section|session_id,API Integration,Medium,Documentation access
CREATE - API Toolbox,API Integration Cloned,User duplicates integration,On clone button,user_id|user_role,source_integration_id|new_integration_name|session_id,API Integration,Medium,Configuration reuse

MANAGE - Connections,Connection List Viewed,User views connections list,On connections page load,user_id|user_role|assigned_scopes,connection_count|view_mode|session_id,General Usage,High,List access
MANAGE - Connections,Connection Details Viewed,User views connection details,On connection detail page load,user_id|user_role,connection_id|connection_type|connection_status|session_id,General Usage,Critical,Detail access
MANAGE - Connections,Connection Detail Tab Changed,User switches detail tabs,On tab click,user_id|user_role,connection_id|tab_from|tab_to|session_id,General Usage,Medium,Tab navigation
MANAGE - Connections,Connection Modified - Bandwidth,User changes bandwidth,On bandwidth update,user_id|user_role,connection_id|old_bandwidth|new_bandwidth|cost_delta|session_id,Connection Management,Critical,Bandwidth adjustment
MANAGE - Connections,Connection Modified - Name,User renames connection,On name save,user_id|user_role,connection_id|old_name|new_name|session_id,Connection Management,Medium,Naming update
MANAGE - Connections,Connection Modified - Description,User updates description,On description save,user_id|user_role,connection_id|session_id,Connection Management,Low,Documentation update
MANAGE - Connections,Connection Modified - Tags,User modifies tags,On tags save,user_id|user_role,connection_id|tags_added|tags_removed|session_id,Connection Management,Low,Tag management
MANAGE - Connections,Connection Modified - Group,User changes group assignment,On group change,user_id|user_role,connection_id|old_group|new_group|session_id,Connection Management,Medium,Group reassignment
MANAGE - Connections,Connection Status Changed - Provisioning,Connection enters provisioning state,On status change,user_id|system,connection_id|old_status|new_status|session_id,Connection Lifecycle,Critical,Status transition
MANAGE - Connections,Connection Status Changed - Active,Connection becomes active,On status change,user_id|system,connection_id|old_status|new_status|provisioning_duration|session_id,Connection Lifecycle,Critical,Activation
MANAGE - Connections,Connection Status Changed - Suspended,Connection suspended,On status change,user_id|system,connection_id|old_status|new_status|suspension_reason|session_id,Connection Lifecycle,Critical,Suspension
MANAGE - Connections,Connection Status Changed - Failed,Connection failed,On status change,user_id|system,connection_id|old_status|new_status|failure_reason|session_id,Connection Lifecycle,Critical,Failure tracking
MANAGE - Connections,Connection Deleted,User deletes connection,On delete confirmation,user_id|user_role,connection_id|connection_type|connection_age_days|deletion_reason|has_active_traffic|session_id,Connection Management,Critical,Connection removal
MANAGE - Connections,Connection Deletion Cancelled,User cancels delete action,On cancel button,user_id|user_role,connection_id|session_id,Connection Management,Medium,Deletion abort
MANAGE - Connections,Connection Duplicated,User copies connection config,On duplicate button,user_id|user_role,source_connection_id|new_connection_name|session_id,Connection Management,Medium,Configuration reuse
MANAGE - Connections,Connection Exported,User exports connection data,On export button,user_id|user_role,connection_id|export_format|session_id,Connection Management,Medium,Data export
MANAGE - Connections,Connection View Mode Changed,User changes list/grid view,On view toggle,user_id|user_role,view_from|view_to|session_id,General Usage,Low,View preference
MANAGE - Connections,Connection Bulk Action Initiated,User selects multiple connections,On bulk select,user_id|user_role,connection_count|session_id,Connection Management,High,Bulk operations
MANAGE - Connections,Connection Bulk Action Executed,User performs bulk action,On bulk action confirm,user_id|user_role,action_type|connection_count|session_id,Connection Management,High,Bulk operations
MANAGE - Connections,Connection Filter Applied,User filters connections,On filter change,user_id|user_role,filter_type|filter_value|results_count|session_id,General Usage,High,List filtering
MANAGE - Connections,Connection Sort Applied,User sorts connections,On sort change,user_id|user_role,sort_field|sort_direction|session_id,General Usage,Medium,List sorting
MANAGE - Connections,Connection Search Performed,User searches connections,On search input,user_id|user_role,search_query|results_count|session_id,General Usage,High,Connection search
MANAGE - Connections,Connection Quick Actions Menu Opened,User opens overflow menu,On three-dot menu click,user_id|user_role,connection_id|session_id,General Usage,Medium,Quick actions
MANAGE - Connections,Connection Quick Action Selected,User selects quick action,On menu item click,user_id|user_role,connection_id|action_type|session_id,General Usage,Medium,Quick action usage

MANAGE - VLANs,VLAN Section Viewed,User views VLAN tab,On VLAN tab click,user_id|user_role,connection_id|vlan_count|session_id,VLAN Management,High,VLAN list access
MANAGE - VLANs,VLAN Modal Opened - Create,User opens create VLAN modal,On Add VLAN button,user_id|user_role,connection_id|session_id,VLAN Management,High,VLAN creation start
MANAGE - VLANs,VLAN ID Entered,User enters VLAN ID,On VLAN ID input,user_id|user_role,vlan_id|auto_generated|session_id,VLAN Management,High,VLAN identification
MANAGE - VLANs,VLAN Name Entered,User enters VLAN name,On name input,user_id|user_role,vlan_name|session_id,VLAN Management,Medium,VLAN naming
MANAGE - VLANs,VLAN Created,VLAN successfully created,On create confirm,user_id|user_role,connection_id|vlan_id|vlan_name|session_id,VLAN Management,Critical,VLAN creation
MANAGE - VLANs,VLAN Creation Failed,VLAN creation failed,On API error,user_id|user_role,connection_id|vlan_id|error_message|session_id,VLAN Management,Critical,Creation failure
MANAGE - VLANs,VLAN Modified,User updates VLAN,On edit save,user_id|user_role,connection_id|vlan_id|modification_type|session_id,VLAN Management,Medium,VLAN update
MANAGE - VLANs,VLAN Deleted,User removes VLAN,On delete confirm,user_id|user_role,connection_id|vlan_id|session_id,VLAN Management,High,VLAN removal

MANAGE - VNFs,VNF Section Viewed,User views VNF tab,On VNF tab click,user_id|user_role,connection_id|vnf_count|session_id,VNF Management,High,VNF list access
MANAGE - VNFs,VNF Modal Opened - Create,User opens create VNF modal,On Add VNF button,user_id|user_role,connection_id|session_id,VNF Management,High,VNF creation start
MANAGE - VNFs,VNF Type Selected,User selects VNF type,On VNF type dropdown,user_id|user_role,vnf_type|vnf_category|session_id,VNF Management,Critical,VNF type selection
MANAGE - VNFs,VNF Provider Selected,User selects VNF provider,On provider dropdown,user_id|user_role,vnf_type|provider_name|session_id,VNF Management,High,Provider selection
MANAGE - VNFs,VNF Configuration Entered,User configures VNF settings,On config input,user_id|user_role,vnf_type|config_parameter|session_id,VNF Management,High,VNF configuration
MANAGE - VNFs,VNF Created,VNF successfully created,On create confirm,user_id|user_role,connection_id|vnf_type|vnf_name|cost_impact|session_id,VNF Management,Critical,VNF creation
MANAGE - VNFs,VNF Creation Failed,VNF creation failed,On API error,user_id|user_role,vnf_type|error_message|session_id,VNF Management,Critical,Creation failure
MANAGE - VNFs,VNF Modified,User updates VNF,On edit save,user_id|user_role,connection_id|vnf_id|modification_type|session_id,VNF Management,Medium,VNF update
MANAGE - VNFs,VNF Status Changed,VNF status updates,On status change,user_id|system,connection_id|vnf_id|old_status|new_status|session_id,VNF Lifecycle,High,Status tracking
MANAGE - VNFs,VNF Deleted,User removes VNF,On delete confirm,user_id|user_role,connection_id|vnf_id|vnf_type|session_id,VNF Management,High,VNF removal
MANAGE - VNFs,VNF Detached from Connection,User detaches VNF,On detach action,user_id|user_role,connection_id|vnf_id|session_id,VNF Management,High,VNF detachment
MANAGE - VNFs,VNF Attached to Connection,User attaches VNF,On attach action,user_id|user_role,connection_id|vnf_id|session_id,VNF Management,High,VNF attachment

MANAGE - Containers,Container Section Viewed,User views routers tab,On router tab click,user_id|user_role,connection_id|router_count|session_id,Router Management,High,Router list access
MANAGE - Containers,Container Modal Opened - Create,User opens create router modal,On Add Router button,user_id|user_role,connection_id|session_id,Router Management,High,Router creation start
MANAGE - Containers,Container Name Entered,User enters router name,On name input,user_id|user_role,router_name|session_id,Router Management,Medium,Router naming
MANAGE - Containers,Container Type Selected,User selects router type,On type dropdown,user_id|user_role,router_type|session_id,Router Management,Critical,Router type selection
MANAGE - Containers,Container BGP Configured,User configures BGP settings,On BGP config save,user_id|user_role,asn|bgp_peers_count|session_id,Router Management,High,BGP configuration
MANAGE - Containers,Container Created,Router successfully created,On create confirm,user_id|user_role,connection_id|router_id|router_name|session_id,Router Management,Critical,Router creation
MANAGE - Containers,Container Creation Failed,Router creation failed,On API error,user_id|user_role,error_message|session_id,Router Management,Critical,Creation failure
MANAGE - Containers,Container Modified,User updates router,On edit save,user_id|user_role,router_id|modification_type|session_id,Router Management,Medium,Router update
MANAGE - Containers,Container Deleted,User removes router,On delete confirm,user_id|user_role,connection_id|router_id|session_id,Router Management,High,Router removal
MANAGE - Containers,Container Details Viewed,User views router details page,On router detail navigation,user_id|user_role,router_id|session_id,Router Management,High,Router detail access

MANAGE - Groups,Group List Viewed,User views groups page,On groups page load,user_id|user_role,group_count|session_id,General Usage,High,Group list access
MANAGE - Groups,Group Created,New group created,On group creation,user_id|user_role|account_type,group_name|group_type|member_count|session_id,Group Management,Critical,Group creation
MANAGE - Groups,Group Details Viewed,User views group details,On group detail page load,user_id|user_role,group_id|group_type|member_count|session_id,General Usage,High,Group detail access
MANAGE - Groups,Group Modified - Name,User renames group,On name save,user_id|user_role,group_id|old_name|new_name|session_id,Group Management,Medium,Name update
MANAGE - Groups,Group Modified - Description,User updates group description,On description save,user_id|user_role,group_id|session_id,Group Management,Low,Description update
MANAGE - Groups,Group Modified - Settings,User changes group settings,On settings save,user_id|user_role,group_id|setting_changed|old_value|new_value|session_id,Group Management,Medium,Settings update
MANAGE - Groups,Member Added to Group,User adds member to group,On member add,user_id|user_role,group_id|member_id|member_role|invitation_method|session_id,Group Management,High,Member addition
MANAGE - Groups,Member Removed from Group,User removes member,On member remove,user_id|user_role,group_id|member_id|removal_reason|session_id,Group Management,High,Member removal
MANAGE - Groups,Member Role Changed in Group,User changes member role,On role change,user_id|user_role,group_id|member_id|old_role|new_role|session_id,Group Management,High,Role modification
MANAGE - Groups,Connection Added to Group,Connection assigned to group,On assignment,user_id|user_role,group_id|connection_id|session_id,Group Management,High,Connection assignment
MANAGE - Groups,Connection Removed from Group,Connection unassigned from group,On removal,user_id|user_role,group_id|connection_id|session_id,Group Management,High,Connection unassignment
MANAGE - Groups,Group Deleted,Group removed,On delete confirm,user_id|user_role,group_id|group_age_days|member_count|deletion_reason|session_id,Group Management,Critical,Group deletion

MANAGE - Policies,Policies Tab Viewed,User views policies configuration,On policies tab click,user_id|user_role,connection_id|policy_count|session_id,Policy Management,High,Policy access
